categoria,dimensiones,especificaciones,idproducto,imagen,marca,modelo,nombre,peso,precio,stock
Teclado,44x13x3 cm,Mecánico Low Profile RGB,PROD029,img/corsair_k70.png,Corsair,K70,Teclado Corsair K70,1.2,520.00,10
Teclado,42x12x2.8 cm,Membrana estándar,PROD030,img/hp_teclado.png,HP,K1500,Teclado HP K1500,0.7,60.00,35
Auriculares,20x18x8 cm,Bluetooth 5.0 Cancelación Ruido,PROD031,img/sony_whch710n.png,Sony,WH-CH710N,Auriculares Sony Inalámbricos,0.25,550.00,18
Auriculares,19x16x7 cm,Gamer 7.1 Surround,PROD032,img/hyperx_cloud2.png,HyperX,Cloud II,Auriculares HyperX Cloud II,0.35,380.00,22
Auriculares,18x15x6 cm,Inalámbricos con micrófono,PROD033,img/logitech_h600.png,Logitech,H600,Auriculares Logitech H600,0.2,280.00,15
Auriculares,17x15x6 cm,Bluetooth True Wireless,PROD034,img/apple_airpods.png,Apple,AirPods Pro,Auriculares Apple AirPods Pro,0.05,950.00,25
Auriculares,18x16x7 cm,Bluetooth deportivos,PROD035,img/jbl_tune500bt.png,JBL,Tune 500BT,Auriculares JBL Tune 500BT,0.15,200.00,30
Disco Duro,10x7x1.5 cm,1TB USB 3.0,PROD036,img/wd_elements.png,Western Digital,Elements,Disco Duro Externo WD,0.23,280.00,30
Disco Duro,10x7x1.5 cm,2TB USB 3.0,PROD037,img/seagate_expansion.png,Seagate,Expansion,Disco Duro Externo Seagate,0.24,380.00,25
SSD,8x2x0.7 cm,SSD NVMe 1TB,PROD038,img/samsung_970evo.png,Samsung,970 EVO Plus,SSD Samsung 970 EVO Plus,0.05,650.00,20
SSD,10x7x0.7 cm,SSD SATA 500GB,PROD039,img/kingston_a400.png,Kingston,A400,SSD Kingston A400,0.06,220.00,35
SSD,10x7x0.7 cm,SSD SATA 1TB,PROD040,img/crucial_mx500.png,Crucial,MX500,SSD Crucial MX500,0.07,350.00,28
Memoria RAM,13x3x0.5 cm,DDR4 16GB 3200MHz,PROD041,img/corsair_vengeance.png,Corsair,Vengeance LPX,Memoria RAM Corsair,0.04,350.00,40
Memoria RAM,13x3x0.5 cm,DDR4 8GB 2666MHz,PROD042,img/kingston_hyperx.png,Kingston,HyperX Fury,Memoria RAM Kingston HyperX,0.04,180.00,50
Memoria RAM,13x3x0.5 cm,DDR5 32GB 5200MHz,PROD043,img/gskill_tridentz.png,G.Skill,Trident Z5,Memoria RAM G.Skill,0.05,850.00,15
Memoria RAM,13x3x0.5 cm,DDR4 4GB 2400MHz,PROD044,img/patriot_signature.png,Patriot,Signature,Memoria RAM Patriot,0.03,90.00,45
Memoria RAM,13x3x0.5 cm,DDR4 32GB 3200MHz,PROD045,img/adata_xpg.png,ADATA,XPG,Memoria RAM ADATA XPG,0.05,720.00,12
Impresora,42x30x15 cm,Multifuncional Wi-Fi,PROD046,img/hp_deskjet.png,HP,DeskJet 2775,Impresora HP DeskJet,4.5,450.00,8
Impresora,43x32x18 cm,Láser Monocromo,PROD047,img/brother_hl1212w.png,Brother,HL-1212W,Impresora Brother Láser,6.2,680.00,6
Impresora,45x35x20 cm,Multifuncional Tinta,PROD048,img/canon_pixma.png,Canon,Pixma G3110,Impresora Canon Pixma,6.0,520.00,10
Router,20x15x4 cm,Wi-Fi 6 Dual Band,PROD049,img/tp_link_ax10.png,TP-Link,Archer AX10,Router TP-Link Archer AX10,0.45,350.00,18
Smartwatch,4x4x1 cm,Monitor de ritmo cardíaco,PROD050,img/amazfit_gtr.png,Amazfit,GTR 2,Smartwatch Amazfit GTR 2,0.06,680.00,20
