categoria,dimensiones,especificaciones,idproducto,imagen,marca,modelo,nombre,peso,precio,stock
Tablet,25x16x0.7 cm,64GB 4GB RAM,PROD011,https://m.media-amazon.com/images/I/61-y844vGPL._AC_UY327_QL65_.jpg,Apple,A2602,iPad 10ª Generación,0.5,1800.00,15
Tablet,24x15x0.8 cm,128GB 6GB RAM,PROD012,https://m.media-amazon.com/images/I/610Bn3iYSzL._AC_UY327_QL65_.jpg,Samsung,Galaxy Tab S7,Tablet Samsung Tab S7,0.55,2400.00,10
Tablet,26x17x0.8 cm,32GB 3GB RAM,PROD013,https://m.media-amazon.com/images/I/61LohMfjj6L._AC_UY327_QL65_.jpg,Lenovo,Tab M10,Tablet Lenovo Tab M10,0.48,950.00,20
Tablet,28x18x0.9 cm,256GB 8GB RAM,PROD014,https://m.media-amazon.com/images/I/61h6BDl1nTL._AC_UY327_QL65_.jpg,Apple,Pro 12.9,iPad Pro 12.9,0.65,4800.00,8
Tablet,23x15x0.7 cm,64GB 4GB RAM,PROD015,img/huawei_matepad.png,Huawei,MatePad,Tablet Huawei MatePad,0.5,1600.00,12
Monitor,55x32x5 cm,24'' Full HD LED,PROD016,https://m.media-amazon.com/images/I/716Dm03hGKL._AC_UY327_QL65_.jpg,LG,24MP60G,Monitor LG 24'',3.2,700.00,12
Monitor,61x36x6 cm,27'' QHD IPS,PROD017,https://m.media-amazon.com/images/I/A1Iqr2v1SIL._AC_UY327_QL65_.jpg,Dell,U2722D,Monitor Dell UltraSharp 27'',4.5,1800.00,9
Monitor,70x40x7 cm,32'' 4K UHD,PROD018,https://m.media-amazon.com/images/I/81rcnsbOb4L._AC_UY327_QL65_.jpg,Samsung,U32R590,Monitor Samsung 32'',5.8,2200.00,6
Monitor,48x28x4 cm,21.5'' Full HD,PROD019,https://m.media-amazon.com/images/I/81KNZoXRqIL._AC_UY327_QL65_.jpg,Acer,SA220Q,Monitor Acer 21.5'',2.8,600.00,15
Monitor,80x45x8 cm,34'' UltraWide QHD,PROD020,https://m.media-amazon.com/images/I/813lcdih06L._AC_UY327_QL65_.jpg,LG,34WN80C,Monitor LG UltraWide 34'',7.2,3200.00,5
Mouse,11x6x4 cm,Óptico Inalámbrico,PROD021,https://m.media-amazon.com/images/I/51WN5aXZWIL._AC_UY327_QL65_.jpg,Logitech,M185,Mouse Logitech Inalámbrico,0.1,70.00,50
Mouse,12x7x4 cm,Gamer RGB 16000DPI,PROD022,https://m.media-amazon.com/images/I/8189uwDnMkL._AC_UY327_QL65_.jpg,Razer,DeathAdder,Mouse Razer DeathAdder,0.12,220.00,25
Mouse,10x6x3.5 cm,Bluetooth Multi-Device,PROD023,https://m.media-amazon.com/images/I/51DZSiQrvHL._AC_UY327_QL65_.jpg,Microsoft,Modern Mobile Mouse,Mouse Microsoft,0.09,150.00,20
Mouse,11x6x4 cm,Cableado 2400DPI,PROD024,https://m.media-amazon.com/images/I/81bTC+o6DRL._AC_UY327_QL65_.jpg,HP,X1500,Mouse HP X1500,0.1,50.00,40
Mouse,12x6x4 cm,Gamer 7200DPI,PROD025,https://m.media-amazon.com/images/I/61saZHQI52L._AC_UY327_QL65_.jpg,Redragon,Cobra,Mouse Redragon Cobra,0.11,120.00,30
Teclado,44x13x3 cm,Mecánico RGB Switch Red,PROD026,https://m.media-amazon.com/images/I/61k66BGMIZL._AC_UY327_QL65_.jpg,Redragon,K552,Teclado Redragon Kumara,0.9,180.00,20
Teclado,45x14x3 cm,Mecánico Switch Blue,PROD027,https://m.media-amazon.com/images/I/61JYXbJF97L._AC_UY327_QL65_.jpg,Logitech,G413,Teclado Logitech G413,1.1,280.00,15
Teclado,43x12x2.5 cm,Inalámbrico con Touchpad,PROD028,https://m.media-amazon.com/images/I/610trs7rWzL._AC_UY327_QL65_.jpg,Microsoft,All-in-One,Teclado Microsoft All-in-One,0.6,220.00,18
Teclado,44x13x3 cm,Mecánico Low Profile RGB,PROD029,https://m.media-amazon.com/images/I/71GIaV46CvL._AC_UY327_QL65_.jpg,Corsair,K70,Teclado Corsair K70,1.2,520.00,10
Teclado,42x12x2.8 cm,Membrana estándar,PROD030,https://m.media-amazon.com/images/I/71LNWlvQaKS._AC_UY327_QL65_.jpg,HP,K1500,Teclado HP K1500,0.7,60.00,35
Auriculares,20x18x8 cm,Bluetooth 5.0 Cancelación Ruido,PROD031,https://m.media-amazon.com/images/I/41lArSiD5hL._AC_UY327_QL65_.jpg,Sony,WH-CH710N,Auriculares Sony Inalámbricos,0.25,550.00,18
Auriculares,19x16x7 cm,Gamer 7.1 Surround,PROD032,https://m.media-amazon.com/images/I/71ltsViEA8L._AC_UY327_QL65_.jpg,HyperX,Cloud II,Auriculares HyperX Cloud II,0.35,380.00,22
Auriculares,18x15x6 cm,Inalámbricos con micrófono,PROD033,https://m.media-amazon.com/images/I/51cUiJzi+uL._AC_UY327_QL65_.jpg,Logitech,H600,Auriculares Logitech H600,0.2,280.00,15
Auriculares,17x15x6 cm,Bluetooth True Wireless,PROD034,https://m.media-amazon.com/images/I/51NRGHU2NoL._AC_UY327_QL65_.jpg,Apple,AirPods Pro,Auriculares Apple AirPods Pro,0.05,950.00,25
Auriculares,18x16x7 cm,Bluetooth deportivos,PROD035,https://m.media-amazon.com/images/I/51Er36ImZXL._AC_UY327_QL65_.jpg,JBL,Tune 500BT,Auriculares JBL Tune 500BT,0.15,200.00,30
Disco Duro,10x7x1.5 cm,1TB USB 3.0,PROD036,https://m.media-amazon.com/images/I/91mlqrT75WL._AC_UY327_QL65_.jpg,Western Digital,Elements,Disco Duro Externo WD,0.23,280.00,30
Disco Duro,10x7x1.5 cm,2TB USB 3.0,PROD037,https://m.media-amazon.com/images/I/51WR+2ePklL._AC_UY327_QL65_.jpg,Seagate,Expansion,Disco Duro Externo Seagate,0.24,380.00,25
SSD,8x2x0.7 cm,SSD NVMe 1TB,PROD038,https://m.media-amazon.com/images/I/71OYNmVRFhL._AC_UY327_QL65_.jpg,Samsung,970 EVO Plus,SSD Samsung 970 EVO Plus,0.05,650.00,20
SSD,10x7x0.7 cm,SSD SATA 500GB,PROD039,https://m.media-amazon.com/images/I/51YwKU-01DL._AC_UY327_QL65_.jpg,Kingston,A400,SSD Kingston A400,0.06,220.00,35
SSD,10x7x0.7 cm,SSD SATA 1TB,PROD040,https://m.media-amazon.com/images/I/51zhuXxYuRL._AC_UY327_QL65_.jpg,Crucial,MX500,SSD Crucial MX500,0.07,350.00,28
Memoria RAM,13x3x0.5 cm,DDR4 16GB 3200MHz,PROD041,https://m.media-amazon.com/images/I/61wCOVcyvFL._AC_UY327_QL65_.jpg,Corsair,Vengeance LPX,Memoria RAM Corsair,0.04,350.00,40
Memoria RAM,13x3x0.5 cm,DDR4 8GB 2666MHz,PROD042,https://m.media-amazon.com/images/I/715QXNdKxiL._AC_UY327_QL65_.jpg,Kingston,HyperX Fury,Memoria RAM Kingston HyperX,0.04,180.00,50
Memoria RAM,13x3x0.5 cm,DDR5 32GB 5200MHz,PROD043,https://m.media-amazon.com/images/I/618SEnJR1nL._AC_UY327_QL65_.jpg,G.Skill,Trident Z5,Memoria RAM G.Skill,0.05,850.00,15
Memoria RAM,13x3x0.5 cm,DDR4 4GB 2400MHz,PROD044,https://m.media-amazon.com/images/I/61v4SyAME0L._AC_UY327_QL65_.jpg,Patriot,Signature,Memoria RAM Patriot,0.03,90.00,45
Memoria RAM,13x3x0.5 cm,DDR4 32GB 3200MHz,PROD045,https://m.media-amazon.com/images/I/61wCOVcyvFL._AC_UY327_QL65_.jpg,ADATA,XPG,Memoria RAM ADATA XPG,0.05,720.00,12
Impresora,42x30x15 cm,Multifuncional Wi-Fi,PROD046,https://m.media-amazon.com/images/I/61X+gMIMsxL._AC_UY327_QL65_.jpg,HP,DeskJet 2775,Impresora HP DeskJet,4.5,450.00,8
Impresora,43x32x18 cm,Láser Monocromo,PROD047,https://m.media-amazon.com/images/I/71y84TN3gkL._AC_UY327_QL65_.jpg,Brother,HL-1212W,Impresora Brother Láser,6.2,680.00,6
Impresora,45x35x20 cm,Multifuncional Tinta,PROD048,https://m.media-amazon.com/images/I/61x6KTFR8yL._AC_UY327_QL65_.jpg,Canon,Pixma G3110,Impresora Canon Pixma,6.0,520.00,10
Router,20x15x4 cm,Wi-Fi 6 Dual Band,PROD049,https://m.media-amazon.com/images/I/51vZIl7auQL._AC_UY327_QL65_.jpg,TP-Link,Archer AX10,Router TP-Link Archer AX10,0.45,350.00,18
Smartwatch,4x4x1 cm,Monitor de ritmo cardíaco,PROD050,https://m.media-amazon.com/images/I/61b-75iHbuL._AC_UY327_QL65_.jpg,Amazfit,GTR 2,Smartwatch Amazfit GTR 2,0.06,680.00,20
