idproducto,nombre,categoria,marca,precio,especificaciones,dimensiones,modelo,peso,stock,imagen
PROD032,Auriculares HyperX Cloud II,Auriculares,HyperX,380.00,Gamer 7.1 Surround,19x16x7 cm,Cloud II,0.35,22,img/hyperx_cloud2.png
PROD033,Auriculares Logitech H600,Auriculares,Logitech,280.00,Inalámbricos con micrófono,18x15x6 cm,H600,0.2,15,img/logitech_h600.png
PROD034,Auriculares Apple AirPods Pro,Auriculares,Apple,950.00,Bluetooth True Wireless,17x15x6 cm,AirPods Pro,0.05,25,img/apple_airpods.png
PROD035,Auriculares JBL Tune 500BT,Auriculares,JBL,200.00,Bluetooth deportivos,18x16x7 cm,Tune 500BT,0.15,30,img/jbl_tune500bt.png
PROD036,Disco Duro Externo WD,Disco Duro,Western Digital,280.00,1TB USB 3.0,10x7x1.5 cm,Elements,0.23,30,img/wd_elements.png
PROD037,Disco Duro Externo Seagate,Disco Duro,Seagate,380.00,2TB USB 3.0,10x7x1.5 cm,Expansion,0.24,25,img/seagate_expansion.png
PROD038,SSD Samsung 970 EVO Plus,SSD,Samsung,650.00,SSD NVMe 1TB,8x2x0.7 cm,970 EVO Plus,0.05,20,img/samsung_970evo.png
PROD039,SSD Kingston A400,SSD,Kingston,220.00,SSD SATA 500GB,10x7x0.7 cm,A400,0.06,35,img/kingston_a400.png
PROD040,SSD Crucial MX500,SSD,Crucial,350.00,SSD SATA 1TB,10x7x0.7 cm,MX500,0.07,28,img/crucial_mx500.png
PROD041,Memoria RAM Corsair,Memoria RAM,Corsair,350.00,DDR4 16GB 3200MHz,13x3x0.5 cm,Vengeance LPX,0.04,40,img/corsair_vengeance.png
PROD042,Memoria RAM Kingston HyperX,Memoria RAM,Kingston,180.00,DDR4 8GB 2666MHz,13x3x0.5 cm,HyperX Fury,0.04,50,img/kingston_hyperx.png
PROD043,Memoria RAM G.Skill,Memoria RAM,G.Skill,850.00,DDR5 32GB 5200MHz,13x3x0.5 cm,Trident Z5,0.05,15,img/gskill_tridentz.png
PROD044,Memoria RAM Patriot,Memoria RAM,Patriot,90.00,DDR4 4GB 2400MHz,13x3x0.5 cm,Signature,0.03,45,img/patriot_signature.png
PROD045,Memoria RAM ADATA XPG,Memoria RAM,ADATA,720.00,DDR4 32GB 3200MHz,13x3x0.5 cm,XPG,0.05,12,img/adata_xpg.png
PROD046,Impresora HP DeskJet,Impresora,HP,450.00,Multifuncional Wi-Fi,42x30x15 cm,DeskJet 2775,4.5,8,img/hp_deskjet.png
PROD047,Impresora Brother Láser,Impresora,Brother,680.00,Láser Monocromo,43x32x18 cm,HL-1212W,6.2,6,img/brother_hl1212w.png
PROD048,Impresora Canon Pixma,Impresora,Canon,520.00,Multifuncional Tinta,45x35x20 cm,Pixma G3110,6.0,10,img/canon_pixma.png
PROD049,Router TP-Link Archer AX10,Router,TP-Link,350.00,Wi-Fi 6 Dual Band,20x15x4 cm,Archer AX10,0.45,18,img/tp_link_ax10.png
PROD050,Smartwatch Amazfit GTR 2,Smartwatch,Amazfit,680.00,Monitor de ritmo cardíaco,4x4x1 cm,GTR 2,0.06,20,img/amazfit_gtr.png
